viewCount,likeCount,dislikeCount,favoriteCount,commentCount,title,publishedAt,playlist_anme
215055,21828,176,0,754,ПОЧЕМУ РАДИАЦИЯ ЛЕЧИТ | Дмитрий Побединский,2020-10-21T06:40:29Z,Спецпроект: введение в нанотехнологии
419183,25738,513,0,1088,"Технологии, в которые зря никто не верил | Дмитрий Побединский",2020-10-31T12:30:56Z,Спецпроект: введение в нанотехнологии
184815,13126,108,0,674,Фантомы и кошмары | Александр Панчин,2018-06-25T10:54:31Z,🧙 Защита от темных искусств 🔮
249419,14915,355,0,1402,Выход из тела и околосмертный опыт | Александр Панчин,2018-06-25T10:54:31Z,🧙 Защита от темных искусств 🔮
243920,17329,337,0,1025,Проклятые и одержимые | Александр Панчин,2018-06-25T10:54:31Z,🧙 Защита от темных искусств 🔮
241916,15390,209,0,793,Обман памяти | Александр Панчин,2018-06-25T10:54:31Z,🧙 Защита от темных искусств 🔮
281094,19215,256,0,1931,Подлая природа самообмана | Александр Панчин,2018-06-25T10:54:31Z,🧙 Защита от темных искусств 🔮
310526,24426,432,0,1810,"Верую, ибо показалось | Александр Панчин",2018-07-23T00:11:54Z,🧙 Защита от темных искусств 🔮
219738,15035,330,0,1062,Реальная магия и ее секреты | Александр Панчин,2018-08-02T12:59:34Z,🧙 Защита от темных искусств 🔮
208129,15108,164,0,622,Сами себе не хозяева | Александр Панчин,2018-08-26T07:40:18Z,🧙 Защита от темных искусств 🔮
188858,15780,229,0,784,Плагиат чудес | Александр Панчин,2019-01-15T12:10:58Z,🧙 Защита от темных искусств 🔮
155972,14329,291,0,869,Зомби среди нас | Александр Панчин,2019-01-15T08:18:05Z,🧙 Защита от темных искусств 🔮
189066,15345,367,0,1742,"Тот, кого НЕЛЬЗЯ называть | Александр Панчин",2019-09-29T11:59:28Z,🧙 Защита от темных искусств 🔮
349528,18930,533,0,1642,Навсегда проигранная БИТВА ЭКСТРАСЕНСОВ | SciOne и Премия имени Гарри Гудини,2019-11-10T21:50:02Z,🧙 Защита от темных искусств 🔮
112898,9814,195,0,694,БЕСОВСКАЯ наука | Александр Панчин,2020-02-25T15:41:45Z,🧙 Защита от темных искусств 🔮
42817,3756,64,0,265,Рак по наследству,2018-06-12T06:09:38Z,Онкология
87461,4812,83,0,389,Страшно не знать: профилактика рака | Эксперт в ответе,2018-06-12T06:09:38Z,Онкология
48931,2754,49,0,154,Страшно не знать: лечение рака | Эксперт в ответе,2018-06-12T06:09:38Z,Онкология
54127,3849,62,0,198,Это стоит знать про рак | Эксперт в ответе,2018-06-12T06:09:38Z,Онкология
88229,7346,95,0,454,Главный убийца женщин,2018-10-25T13:22:37Z,Онкология
73650,7253,47,0,356,9 вредных мифов о раке,2018-12-06T13:01:18Z,Онкология
72455,3466,75,0,373,"Медицина не то, чем кажется | Зона Брока // ток-шоу Александра Панчина",2019-04-26T11:11:12Z,Онкология
88646,6031,311,0,749,"Как связаны СОДА, РАК, САХАР | Мария Кондратова",2020-03-19T16:01:16Z,Онкология
369157,33028,555,0,1397,Не сотвори себе авторитета | TrashSmash & SciOne,2018-06-06T12:02:45Z,Валентин Конон
560318,43352,1346,0,1535,Язык определяет мышление?,2018-06-06T12:03:14Z,Валентин Конон
638807,48278,1002,0,1183,ВЫ ЭТО НИКОГДА НЕ УВИДИТЕ И НЕ УСЛЫШИТЕ,2018-06-06T12:03:38Z,Валентин Конон
375200,34134,1038,0,2193,Вам только кажется | feat. TrashSmash,2018-07-26T12:58:46Z,Валентин Конон
200586,21035,351,0,744,Цветы иных миров | TrashSmash,2018-09-01T16:38:34Z,Валентин Конон
189598,20351,541,0,806,Апокалипсис завтра | TrashSmash (Валентин Конон),2019-04-29T07:42:22Z,Валентин Конон
127921,13942,408,0,628,Создавая апокалипсис | TrashSmash (Валентин Конон),2019-05-18T08:11:27Z,Валентин Конон
285635,14808,263,0,753,САМЫЕ ВАЖНЫЕ ИДЕИ О ПРАВИЛЬНОМ МЫШЛЕНИИ | КОВЧЕГ ИДЕЙ,2018-01-17T09:21:35Z,"Блиц-курс по логике для занятых, ну, или ленивых"
72378,5107,230,0,411,Сила логики в реальной жизни | Блиц-курс логики,2018-01-17T09:21:53Z,"Блиц-курс по логике для занятых, ну, или ленивых"
47126,4266,78,0,294,Закон логики: тождество | Блиц-курс логики,2018-01-24T12:51:58Z,"Блиц-курс по логике для занятых, ну, или ленивых"
638071,42165,953,0,3233,4 закона логики | Дмитрий Гусев,2019-03-23T13:29:13Z,"Блиц-курс по логике для занятых, ну, или ленивых"
96788,7541,63,0,286,Мозг и еда | Кто здесь главный? [1 серия],2017-11-18T16:02:35Z,Кто здесь главный?
54652,4357,41,0,161,Мозг и новая информация | Кто здесь главный? [2 серия],2017-11-18T16:02:35Z,Кто здесь главный?
